camera_id,timestamp,car_count,truck_count,bus_count,motorcycle_count,road_area_pixels,vectors_chao_score,congestion_score
587ee2aeb807da0011e33d52,2025-11-27 07:52:05,5,0,0,6,39266,"0,2963032179","0,4126483955"
587ee2aeb807da0011e33d52,2025-11-27 07:52:23,1,0,0,15,43295,"0,4544069347","0,3405137033"
587ee2aeb807da0011e33d52,2025-11-27 07:52:41,4,0,0,26,43197,"0,4770812239","0,3422682826"
587ee2aeb807da0011e33d52,2025-11-27 07:53:00,3,0,0,17,37147,"0,5157488229","0,450586696"
587ee2aeb807da0011e33d52,2025-11-27 07:53:18,4,0,0,4,37725,"0,3685720624","0,4402382592"
587ee2aeb807da0011e33d52,2025-11-27 07:53:36,3,0,0,5,44409,"0,2576833735","0,3205687922"
587ee2aeb807da0011e33d52,2025-11-27 07:53:54,6,0,0,14,29128,"0,3754444122","0,5941578295"
587ee2aeb807da0011e33d52,2025-11-27 07:54:12,8,0,0,11,35960,"0,4804544671","0,4718385897"
587ee2aeb807da0011e33d52,2025-11-27 07:54:29,2,0,0,12,41035,"0,2046484182","0,3809764495"
587ee2aeb807da0011e33d52,2025-11-27 07:54:47,2,0,0,9,40323,"0,2527848339","0,393724005"
587ee2aeb807da0011e33d52,2025-11-27 07:55:05,4,0,0,11,39570,"0,5160837321","0,4072056191"
587ee2aeb807da0011e33d52,2025-11-27 07:55:22,2,0,0,11,38710,"0,3063028172","0,4226029473"
587ee2aeb807da0011e33d52,2025-11-27 07:55:41,2,0,0,11,41224,"0,335149865","0,3775926181"
587ee2aeb807da0011e33d52,2025-11-27 07:56:00,2,0,0,6,39893,"0,1972785791","0,4014226691"
587ee2aeb807da0011e33d52,2025-11-27 07:56:18,5,0,0,15,34803,"0,477758155","0,4925533673"
587ee2aeb807da0011e33d52,2025-11-27 07:56:36,6,0,0,16,38960,"0,3657851668","0,4181269798"
587ee2aeb807da0011e33d52,2025-11-27 07:56:58,2,0,0,10,40298,"0,2669562843","0,3941716017"
587ee2aeb807da0011e33d52,2025-11-27 07:57:16,4,0,0,10,38769,"0,3929430667","0,4215466189"
587ee2aeb807da0011e33d52,2025-11-27 07:57:34,3,0,0,15,40263,"0,4151046233","0,3947982372"
587ee2aeb807da0011e33d52,2025-11-27 07:57:53,5,0,0,10,39585,"0,3257307562","0,406937061"
587ee2aeb807da0011e33d52,2025-11-27 07:58:10,0,0,0,15,41167,"0,302109632","0,3786131387"
587ee2aeb807da0011e33d52,2025-11-27 07:58:28,3,0,0,8,39003,"0,3324895111","0,4173571133"
587ee2aeb807da0011e33d52,2025-11-27 07:58:46,3,0,1,11,28176,"0,3468361289","0,6112023137"
587ee2aeb807da0011e33d52,2025-11-27 07:59:04,6,0,0,14,45421,"0,4155008187","0,3024500757"
587ee2aeb807da0011e33d52,2025-11-27 07:59:23,3,0,0,13,39991,"0,4505843823","0,3996680898"
587ee2aeb807da0011e33d52,2025-11-27 07:59:41,2,0,0,12,40579,"0,4187481353","0,3891406142"
587ee2aeb807da0011e33d52,2025-11-27 07:59:59,5,0,0,15,38066,"0,4712398365","0,4341330395"
587ee2aeb807da0011e33d52,2025-11-27 08:00:17,5,0,0,15,28464,"0,4732852181","0,5536937885"
